c_id,project
181,OMB A-133 Compliance Supplement
181,Uniform Guidance (2 CFR Part 200)
181,Uniform Guidance (45 CFR Part 75)
186,HIV/AIDS International (HAB PEPFAR)
189,HIV/AIDS International (HAB PEPFAR)
202,HIV/AIDS International (HAB PEPFAR)
206,HIV/AIDS International (HAB PEPFAR)
213,Evidence-based Home Visiting
213,Healthy Start Initiative
213,Linking Actions for Unmet Needs in Children’s Health (LAUNCH)
213,"Maternal and Child Heath (MCHB, ACF)"
213,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
214,Healthy Start Initiative
214,Home Visiting Collaborative Improvement and Innovation Network (HV CoIIN)
214,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
215,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
216,Environmental Protection Agency (EPA)
216,Healthy Start Initiative
216,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
217,Evidence-based Home Visiting
217,Home Instruction for Parents of Preschool Youngsters (HIPPY)
217,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
218,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
219,Early Head Start
219,Evidence-based Home Visiting
219,Healthy Families America (HFA)
219,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
219,Nurse-Family Partnership (NFP)
220,Evidence-based Home Visiting
220,Healthy Families America (HFA)
220,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
221,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
222,Evidence-based Home Visiting
222,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
223,Early Head Start
223,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
224,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
225,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
226,Community Services Block Grant (CSBG)
226,Early Head Start
226,Enterprise Resource Programs (ERP)
226,Environmental Protection Agency (EPA)
226,Evidence-based Home Visiting
226,Head Start
226,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
226,OMB A-133 Compliance Supplement
226,Strengthening Accountabilityin the Glocal Economy (SAGE) Fund
226,Temporary Assistance for Needy Families (TANF)
226,Uniform Guidance (45 CFR Part 75)
227,Community Health Center (CHC)
227,Environmental Protection Agency (EPA)
227,Evidence-based Home Visiting
227,Health Centers (BPHC)
227,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
228,Deep Foundations Institute (DFI)
228,Enterprise Resource Programs (ERP)
228,Evidence-based Home Visiting
228,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
229,Enterprise Resource Programs (ERP)
229,Evidence-based Home Visiting
229,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
230,Enterprise Resource Programs (ERP)
230,Evidence-based Home Visiting
230,Federal Highway programs
230,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
231,Enterprise Resource Programs (ERP)
231,Evidence-based Home Visiting
231,Federal Highway programs
231,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
232,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
233,Community Health Center (CHC)
233,Environmental Protection Agency (EPA)
233,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
233,Uniform Guidance (2 CFR Part 200)
234,Department of Energy (DOE)
234,Enterprise Resource Programs (ERP)
234,Environmental Protection Agency (EPA)
234,General Services Administration (GSA)
234,Government Accountability Office (GAO)
234,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
235,Corporation for National and Community Service (CNCS)
235,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
236,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
237,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
238,Environmental Protection Agency (EPA)
238,Head Start
238,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
238,Uniform Guidance (45 CFR Part 75)
239,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
239,Uniform Guidance (45 CFR Part 75)
240,Environmental Protection Agency (EPA)
240,Head Start
240,"Maternal and Child Heath (MCHB, ACF)"
240,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
240,Uniform Guidance (45 CFR Part 75)
241,Early Head Start
241,Head Start
241,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
241,Uniform Guidance (45 CFR Part 75)
242,Enterprise Resource Programs (ERP)
242,Head Start
242,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
242,Uniform Guidance (45 CFR Part 75)
243,Enterprise Resource Programs (ERP)
243,Environmental Protection Agency (EPA)
243,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
243,OMB A-133 Compliance Supplement
243,Uniform Guidance (2 CFR Part 200)
